prompt_id,prompt_updated_at,anthropic_evaluated_at,deepseek_evaluated_at,openai_evaluated_at
MCP-H1-0002,2026-02-02T22:26:06.056687+00:00,2026-01-28T15:55:10.444350+00:00,2026-01-28T15:53:37.647046+00:00,2026-01-28T08:46:54.164617+00:00
MCP-H1-0003,2026-02-02T22:26:06.056687+00:00,2026-01-27T12:02:13.984230+00:00,2026-01-27T11:57:54.766925+00:00,2026-01-23T16:24:29.247452+00:00
MCP-H1-0004,2026-02-02T22:26:06.056687+00:00,2026-01-27T12:01:43.959496+00:00,2026-01-27T12:35:39.516826+00:00,2026-01-23T16:02:41.497414+00:00
MCP-H1-0005,2026-02-02T22:26:06.056687+00:00,2026-01-27T11:48:29.765980+00:00,2026-01-27T12:29:44.946731+00:00,2026-01-23T16:05:39.875085+00:00
MCP-H1-0006,2026-02-02T22:26:06.056687+00:00,2026-01-27T20:24:17.029404+00:00,2026-01-27T20:38:05.212321+00:00,2026-01-25T04:42:41.074005+00:00
MCP-H1-0007,2026-02-02T22:26:06.056687+00:00,2026-01-27T20:06:50.626376+00:00,2026-01-27T20:03:44.846683+00:00,2026-01-25T04:43:19.782866+00:00
MCP-H1-0008,2026-02-02T22:26:06.056687+00:00,2026-01-27T18:35:56.386151+00:00,2026-01-27T18:35:33.117144+00:00,2026-01-26T09:06:41.564145+00:00
MCP-H1-0009,2026-02-02T22:26:06.056687+00:00,2026-01-27T18:33:48.901219+00:00,2026-01-27T18:32:30.975617+00:00,2026-01-27T06:06:30.864834+00:00
MCP-H1-0010,2026-02-02T22:26:06.056687+00:00,2026-01-27T18:31:04.727522+00:00,2026-01-27T18:47:15.397805+00:00,2026-01-27T06:09:28.016657+00:00
MCP-H1-0011,2026-02-02T22:26:06.056687+00:00,2026-01-28T16:27:13.256613+00:00,2026-01-28T16:19:42.562461+00:00,2026-01-28T08:42:03.734604+00:00
MCP-H1-0012,2026-02-02T22:26:06.056687+00:00,2026-01-28T15:54:38.416125+00:00,2026-01-28T15:57:52.419103+00:00,2026-01-28T08:27:22.548136+00:00
MCP-H1-0013,2026-02-02T22:26:06.056687+00:00,2026-01-28T16:24:04.770270+00:00,2026-01-31T09:52:25.009184+00:00,2026-01-28T09:01:08.302483+00:00
MCP-H1-0014,2026-02-02T22:26:06.056687+00:00,2026-01-28T16:25:00.914425+00:00,2026-01-28T16:06:04.652525+00:00,2026-01-28T08:59:33.896160+00:00
MCP-H1-0015,2026-02-02T22:26:06.056687+00:00,2026-01-28T16:24:09.251503+00:00,2026-01-28T16:02:07.921824+00:00,2026-01-28T08:16:03.409973+00:00
MCP-H1-0016,2026-02-02T22:26:06.056687+00:00,2026-01-27T20:02:55.423550+00:00,2026-01-27T20:28:31.943021+00:00,2026-01-23T12:03:00.791005+00:00
MCP-H1-0017,2026-02-02T22:26:06.056687+00:00,2026-01-27T20:00:53.503049+00:00,2026-01-28T13:38:32.258849+00:00,2026-01-23T11:51:54.312287+00:00
MCP-H1-0018,2026-02-02T22:26:06.056687+00:00,2026-01-27T19:39:04.799988+00:00,2026-01-28T12:55:05.580989+00:00,2026-01-23T11:39:54.413972+00:00
MCP-H1-0019,2026-02-02T22:26:06.056687+00:00,2026-01-27T19:08:15.615460+00:00,2026-01-27T20:20:59.234348+00:00,2026-01-23T11:31:46.981770+00:00
MCP-H1-0020,2026-02-02T22:26:06.056687+00:00,2026-01-27T19:56:57.131273+00:00,2026-01-27T20:35:52.397589+00:00,2026-01-23T11:23:57.791050+00:00
MCP-H1-0021,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:40:17.841946+00:00,2026-02-02T16:40:20.236849+00:00,2026-02-02T16:39:55.581033+00:00
MCP-H1-0022,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:20:31.209079+00:00,2026-01-29T15:18:22.478368+00:00,2026-01-29T14:56:45.376557+00:00
MCP-H1-0023,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:22:09.683896+00:00,2026-01-29T15:21:15.509165+00:00,2026-01-29T14:57:10.664424+00:00
MCP-H1-0024,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:21:57.619832+00:00,2026-01-29T15:19:14.094222+00:00,2026-01-29T14:56:40.776720+00:00
MCP-H1-0025,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:19:43.117942+00:00,2026-01-29T15:25:24.274338+00:00,2026-01-29T14:57:20.174258+00:00
MCP-H1-0026,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:21:41.777786+00:00,2026-01-29T15:27:10.378040+00:00,2026-01-29T14:58:00.645129+00:00
MCP-H1-0027,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:26:22.346470+00:00,2026-01-29T15:22:33.041456+00:00,2026-01-29T14:58:06.375714+00:00
MCP-H1-0028,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:05:34.783855+00:00,2026-01-29T17:39:50.334179+00:00,2026-01-29T17:17:51.357713+00:00
MCP-H1-0029,2026-02-02T22:26:06.056687+00:00,2026-01-29T17:41:36.206743+00:00,2026-01-29T18:07:13.638250+00:00,2026-01-29T17:18:07.208872+00:00
MCP-H1-0030,2026-02-02T22:26:06.056687+00:00,2026-01-29T17:45:01.142052+00:00,2026-01-29T18:02:10.939563+00:00,2026-01-29T17:19:36.081995+00:00
MCP-H1-0031,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:05:53.201928+00:00,2026-01-29T18:10:29.564873+00:00,2026-01-29T17:39:33.822312+00:00
MCP-H1-0033,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:33:42.131456+00:00,2026-01-29T19:33:14.714508+00:00,2026-01-29T19:28:50.437570+00:00
MCP-H1-0034,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:57:24.322682+00:00,2026-01-29T20:10:04.233749+00:00,2026-01-29T18:13:29.737093+00:00
MCP-H1-0035,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:45:37.670668+00:00,2026-01-29T20:10:47.105668+00:00,2026-01-29T18:26:35.047621+00:00
MCP-H1-0036,2026-02-02T22:26:06.056687+00:00,2026-01-29T20:15:03.301488+00:00,2026-01-29T20:11:24.224404+00:00,2026-01-29T19:56:56.011629+00:00
MCP-H1-0037,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:52:31.189250+00:00,2026-01-29T20:07:34.288496+00:00,2026-01-29T20:00:11.325979+00:00
MCP-H1-0038,2026-02-02T22:26:06.056687+00:00,2026-01-28T14:22:32.195138+00:00,2026-01-28T14:21:45.182661+00:00,2026-01-23T13:21:49.950953+00:00
MCP-H1-0039,2026-02-02T22:26:06.056687+00:00,2026-01-28T14:19:33.326303+00:00,2026-01-28T14:23:38.857625+00:00,2026-01-23T13:21:23.149906+00:00
MCP-H1-0040,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:43:14.876734+00:00,2026-02-02T16:42:51.504524+00:00,2026-02-02T16:43:35.807960+00:00
MCP-H1-0041,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:44:37.692395+00:00,2026-02-02T16:44:11.740287+00:00,2026-02-02T16:44:23.818562+00:00
MCP-H1-0042,2026-02-02T22:26:06.056687+00:00,2026-01-28T12:10:09.732474+00:00,2026-01-28T12:11:39.776000+00:00,2026-01-23T21:38:33.270314+00:00
MCP-H1-0043,2026-02-02T22:26:06.056687+00:00,2026-01-28T12:19:31.342871+00:00,2026-01-28T12:18:45.117983+00:00,2026-01-23T21:35:52.656115+00:00
MCP-H1-0044,2026-02-02T22:26:06.056687+00:00,2026-01-28T12:27:07.614058+00:00,2026-01-28T12:36:33.249033+00:00,2026-01-23T21:20:55.790275+00:00
MCP-H1-0045,2026-02-02T22:26:06.056687+00:00,2026-01-28T13:13:53.564062+00:00,2026-01-28T13:16:09.394731+00:00,2026-01-23T21:23:24.805870+00:00
MCP-H1-0046,2026-02-02T22:26:06.056687+00:00,2026-01-27T21:43:31.227885+00:00,2026-01-27T21:52:50.651234+00:00,2026-01-23T21:18:03.706738+00:00
MCP-H1-0047,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:10:50.585603+00:00,2026-01-29T18:52:28.645152+00:00,2026-01-29T18:05:00.591562+00:00
MCP-H1-0048,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:41:55.036121+00:00,2026-01-29T18:23:38.192783+00:00,2026-01-29T18:19:23.363558+00:00
MCP-H1-0049,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:42:19.699659+00:00,2026-01-29T18:42:58.515498+00:00,2026-01-29T18:04:22.748964+00:00
